date,open,high,low,close
2004-08-03,636.83,636.83,630.81,630.81
2004-08-04,627.47,627.47,619.19,619.19
2004-08-05,622.78,623.05,611.94,618.9
2004-08-06,610.58,613.98,609.57,610.94
2004-08-09,605.84,611.91,605.25,607.47
2004-08-10,609.32,610.69,603.27,606.94
2004-08-11,610.17,612.4,592.88,595.6
2004-08-13,591.68,597.52,586.81,588.87
2004-08-16,589.65,597.05,587.1,596.98
2004-08-17,601.87,603.8,598.63,602.75
2004-08-18,603.41,612.22,601.08,605.3
2004-08-19,608.96,610.34,602.08,602.54
2004-08-20,601.32,603.66,598.55,598.55
2004-08-23,601.6,602.38,596.65,599.55
2004-08-24,599.03,601.2,596.76,600.03
2004-08-25,600.01,609.04,599.32,607.69
2004-08-26,613.28,618.04,611.9,617.07
2004-08-27,620.08,622.41,616.46,620.12
2004-08-30,620.58,620.58,612.45,612.45
2004-08-31,613.87,624.87,613.53,624.59
2004-09-01,627.1,631.32,623.99,628.81
2004-09-02,628.58,632.77,626.09,628.78
2004-09-03,631.09,636.55,627.91,629.08
2004-09-06,628.52,632.95,627.47,630.87
2004-09-07,633.13,635.52,628.02,631.4
2004-09-08,633.94,634.98,629.29,630.21
2004-09-09,630.96,641.04,630.85,641.04
2004-09-10,640.41,643.02,637.87,640.6
2004-09-13,642.44,651.14,642.44,649.93
2004-09-14,650.04,655.21,650.04,651.89
2004-09-15,652.57,664.21,652.57,662.28
2004-09-16,666.05,666.5,659.26,662.39
2004-09-17,664.67,669.08,661.06,668.73
2004-09-20,673.95,676.4,667.73,668.29
2004-09-21,669.81,669.81,658.29,660.92
2004-09-22,661.87,667.23,656.89,663.51
2004-09-23,661.96,661.96,643.32,648.8
2004-09-24,648.77,654.6,644.23,654.6
2004-09-27,654.64,654.64,645.97,646.78
2004-09-28,641.04,643.15,633.35,637.89
2004-09-29,639.54,641.66,636.57,636.57
2004-09-30,641.31,645.95,641.17,644.67
2004-10-01,647.52,661.23,646.9,661.23
2004-10-04,670.45,679.48,667.92,679.13
2004-10-05,679.32,681.82,671.9,673.88
2004-10-06,674.69,681.14,666.7,668.51
2004-10-07,670.41,675.14,665.97,670.06
2004-10-08,668.2,676.15,667.16,676.15
2004-10-11,677.78,684.57,676.09,677.93
2004-10-12,676.85,676.85,658.27,658.27
2004-10-13,660.49,662.2,652.37,661.29
2004-10-14,660.97,660.97,641.3,641.3
2004-10-15,641.03,648.6,640.36,648.48
2004-10-18,650.31,653.25,646.51,646.51
2004-10-19,650.43,661.0,650.43,661.0
2004-10-20,655.45,659.18,650.81,652.46
2004-10-21,654.04,655.66,648.61,649.27
2004-10-22,652.22,659.05,652.22,659.05
2004-10-26,656.35,656.35,646.59,648.38
2004-10-27,643.2,643.22,626.13,626.85
2004-10-28,633.37,634.87,616.9,621.57
2004-10-29,616.08,628.16,615.77,628.16
2004-11-01,629.71,629.76,626.55,626.96
2004-11-02,630.97,636.1,630.61,631.99
2004-11-03,633.88,641.29,633.88,641.29
2004-11-04,644.17,644.17,636.68,639.13
2004-11-05,645.34,645.46,635.09,635.09
2004-11-08,636.59,636.59,629.2,629.2
2004-11-09,629.99,634.02,627.64,632.94
2004-11-10,634.08,636.66,625.78,625.78
2004-11-11,628.55,630.31,623.03,627.34
2004-11-12,629.87,641.58,629.87,639.74
2004-11-15,646.42,651.1,644.43,647.56
2004-11-16,648.06,648.78,642.36,642.65
2004-11-17,645.15,645.43,641.77,644.16
2004-11-18,646.79,648.77,645.39,646.93
2004-11-19,649.04,654.12,649.04,651.42
2004-11-22,650.15,650.15,641.75,644.95
2004-11-23,646.37,650.87,645.3,650.87
2004-11-24,651.43,652.1,641.85,643.06
2004-11-25,644.46,651.51,644.46,647.49
2004-11-26,650.09,652.4,645.53,648.75
2004-11-29,651.6,657.25,648.78,657.25
2004-11-30,656.86,658.92,653.84,656.73
